1	472
1	823
1	949
1	994
2	274
2	749
2	925
2	964
3	905
3	932
3	972
3	993
4	152
4	284
4	625
4	804
5	880
5	972
5	992
5	993
6	308
6	390
6	541
6	877
7	329
7	863
7	971
7	987
8	850
8	962
8	965
8	989
9	863
9	885
9	966
9	987
10	501
10	627
10	708
10	918
11	810
11	955
11	973
11	981
12	335
12	772
12	862
12	1000
13	390
13	706
13	844
13	906
14	878
14	941
14	987
14	994
15	361
15	919
15	994
15	997
16	769
16	843
16	891
16	966
17	125
17	786
17	976
17	978
18	416
18	834
18	877
18	945
19	368
19	538
19	896
19	967
20	32
20	88
20	573
20	951
21	827
21	941
21	987
21	998
22	846
22	956
22	974
22	979
23	763
23	911
23	912
23	967
24	408
24	787
24	843
24	876
25	204
25	255
25	843
25	855
26	751
26	925
26	933
26	945
27	829
27	955
27	970
27	996
28	517
28	707
28	892
28	973
29	40
29	520
29	762
29	817
30	117
30	273
30	561
30	947
31	78
31	654
31	760
31	947
32	20
32	856
32	979
32	996
33	830
33	950
33	990
33	995
34	347
34	676
34	954
34	980
35	296
35	597
35	756
35	880
36	748
36	934
36	990
36	994
37	726
37	754
37	893
37	959
38	195
38	416
38	493
38	964
39	286
39	484
39	633
39	978
40	29
40	464
40	949
40	958
41	937
41	974
41	986
41	997
42	447
42	706
42	782
42	786
43	527
43	757
43	842
43	990
44	170
44	657
44	815
44	928
45	454
45	760
45	828
45	940
46	195
46	822
46	877
46	939
47	273
47	625
47	828
47	948
48	894
48	905
48	992
48	993
49	121
49	364
49	620
49	701
50	698
50	977
50	982
50	1000
51	541
51	816
51	992
51	993
52	348
52	449
52	613
52	916
53	477
53	536
53	817
53	924
54	357
54	628
54	835
54	891
55	243
55	686
55	843
55	891
56	844
56	879
56	906
56	994
57	671
57	965
57	992
57	993
58	465
58	971
58	987
58	998
59	795
59	938
59	970
59	1000
60	362
60	844
60	874
60	879
61	509
61	658
61	831
61	886
62	370
62	382
62	803
62	875
63	191
63	769
63	876
63	966
64	681
64	927
64	929
64	975
65	104
65	675
65	945
65	953
66	589
66	668
66	979
66	998
67	713
67	933
67	943
67	960
68	344
68	636
68	972
68	992
69	678
69	977
69	982
69	984
70	340
70	700
70	874
70	963
71	162
71	172
71	987
71	998
72	215
72	821
72	916
72	980
73	605
73	646
73	807
73	985
74	821
74	934
74	972
74	994
75	128
75	953
75	992
75	993
76	277
76	621
76	916
76	934
77	662
77	844
77	879
77	906
78	31
78	335
78	940
78	947
79	272
79	466
79	740
79	765
80	445
80	929
80	974
80	979
81	681
81	905
81	972
81	992
82	223
82	297
82	788
82	954
83	581
83	663
83	701
83	842
84	727
84	754
84	981
84	985
85	467
85	774
85	786
85	966
86	747
86	936
86	995
86	997
87	196
87	546
87	940
87	947
88	20
88	332
88	902
88	996
89	784
89	870
89	927
